sys_created_on	u_service_offering_outage_start_time	difference_created_and_outage
14-10-2024 01:00:26	11/10/2024 23:29	
25-08-2025 01:00:34	25-08-2025 01:00:34	
11/10/2024 1:54	11/10/2024 1:54	
27-12-2024 02:27:59	27-12-2024 02:27:59	
21-01-2025 05:40:23		
2/8/2025 10:29	2/8/2025 8:46	
27-08-2025 07:51:20	27-08-2025 07:51:00	
15-06-2025 15:23:44	14-06-2025 01:37:00	
6/8/2025 9:55	6/8/2025 9:55	
7/7/2025 5:27	7/7/2025 5:27	
12/12/2024 16:28	12/12/2024 15:47	
27-10-2024 03:51:19	27-10-2024 03:01:00	
11/7/2025 5:49	11/7/2025 5:49	
3/2/2025 18:36	3/2/2025 18:36	
29-10-2024 00:24:00	29-10-2024 00:24:00	
10/7/2025 7:06	10/7/2025 6:44	
4/3/2025 8:09	4/3/2025 8:09	
20-08-2025 05:50:30	20-08-2025 05:50:30	
5/3/2025 16:38	5/3/2025 16:39	
26-08-2025 08:45:58	26-08-2025 08:45:58	
2/9/2025 9:46	2/9/2025 9:46	
13-07-2025 07:12:58	13-07-2025 07:12:00	
10/10/2024 8:15	10/10/2024 8:00	
10/2/2025 1:26	9/2/2025 19:57	
6/2/2025 11:54	5/2/2025 4:11	
4/4/2025 6:13	4/4/2025 6:13	
23-07-2025 11:20:20	23-07-2025 10:30:00	
1/2/2025 6:51	1/2/2025 6:51	
9/9/2025 1:13	9/9/2025 1:13	
20-08-2025 07:00:20	20-08-2025 06:58:06	
23-01-2025 20:40:03	23-01-2025 20:40:03	
11/11/2024 6:36	11/11/2024 6:36	
4/8/2025 8:41		
2/7/2025 14:25		
16-05-2025 01:52:45	15-05-2025 20:55:00	
31-07-2025 00:45:02	31-07-2025 00:39:00	
14-01-2025 00:12:46	14-01-2025 00:12:00	
24-02-2025 01:37:37	24-02-2025 01:37:37	
24-06-2025 05:07:47	24-06-2025 05:06:21	
26-02-2025 23:15:35	26-02-2025 20:30:00	
23-09-2025 01:10:29	23-09-2025 01:10:00	
4/2/2025 2:31	3/2/2025 10:17	
13-08-2025 01:48:50	13-08-2025 01:48:50	
2/4/2025 5:34	2/4/2025 5:34	
28-07-2025 14:03:09	28-07-2025 14:03:09	
22-04-2025 01:26:42		
29-10-2024 13:11:56	29-10-2024 13:08:15	
16-12-2024 03:52:31	16-12-2024 03:51:43	
17-02-2025 05:22:14	17-02-2025 05:22:14	
