New SCB Control ID	New SCB Sort	SCB Control Category	Control Description	Control Objective	Test Procedure Summary	Sampling Required?	MCL V3.0 Mapped?	MCLV3.0 Reference	ISF Mapped?	ISF Reference	NIST Sp-800-53 Rev 5 Mapped?	NIST Sp-800-53 Rev 5 Reference 	CIS Mapped?	CIS Reference 
HRS-01	1	Human Resource Security	All users (including physical security personnel, information security personnel, privileged users and third-party stakeholders) are informed, trained, and understand their roles and responsibilities.	All users are informed, trained, understand their roles and responsibilities related to information security to ensure that, in the event of a cybersecurity incident, all SCB processes are procedures that can be followed; while reducing delays, deviation from policy or unintended consequences.	"HRS-01.01 - Documentation Requirements:
(a) Please provide formal documentation* (e.g. policy/procedure/standard) of your organisation's process on information and cyber security training and awareness for all users.

*Note: Formal documentation includes any document which is periodically reviewed and approved by senior management and is distributed or made available to employees (i.e. through email, training or posted to Intranet site). 

HRS-01.02 - Security training - general principles
(a) Please provide evidence that your organisation conducts a mandatory information and cyber security training and awareness program for all employees.

(b) Please provide evidence of your information and cyber security training and awareness materials to demonstrate what educational domains are covered (e.g. physical security, password management, secure software development etc.).

Applicable for South Korea only
(c) Please provide evidence that your organisation conducts Information Security Training/education at least once a year for all executives, employees and third party service providers

HRS-01.03 - Security training - enhanced training
(a) Please provide evidence to demonstrate whether your organisation provides an enhanced level of information and cyber security training to the following personnel proportionate to their role and responsibilities (i.e. beyond general user training materials): 
 i) physical security personnel
 ii) information security personnel
 iii) third-party stakeholders (e.g., suppliers, customers, partners)
 iv) senior executives
 v) users with administrative/privileged access to SCB data 
vi) software development personnel


HRS-01.04 - Security training - content review
(a) Please provide evidence to demonstrate that your organisation has reviewed (and updated, where applicable) all training material(s) on at least an annual basis.

HRS-01.05 - Security training - user completion (sampling required)
(a) Please provide a full list of user accounts with access to systems which process, store or transmit SCB data.

(b) For the above-mentioned accounts, please provide a sample of employee training records to demonstrate whether the user(s) have completed the required training(s) within the last 12 month period (i.e. both general or job role specific if applicable). 
"	"Tell Me - Design Effectiveness Testing
1) Inspect the organisation's formal documentation* (e.g. policy/procedure/standard) on user training and awareness to ensure: 

a) the organisations training and awareness documentation extends to all users (internal and external parties) which may access, process, or store to SCB data
b) the documentation has been reviewed on an annual basis
c) senior management has approved the documentation

*Formal documentation includes any document which is periodically reviewed and approved by senior management and is distributed or made available to employees (i.e. through email, training or posted to Intranet site). Approval of formal documentation should be performed by senior company personnel, and not explicitly the owner/author of the policy (i.e. first line representative responsible for operating the controls), or a junior level employee (i.e. intern/associate).

Show Me - Design Effectiveness & Operational Effectiveness Testing
2) Inquire and document how the organisation complies with SCB's minimum requirements listed below:

Security training - general principles
a) Inquire and document whether the organisation has a mandatory information and cyber security training programme, which includes information and cyber security risks and informs all employees of the organisation’s policies and standards related to information and cyber security.

b) Obtain the information and cyber security training materials and validate whether it covers the following domains at a minimum: 
  i) Physical security
  ii) Code of conduct
  iii) Password management
  iv) Internet/email use
  v) Phishing
  vi) Relevant cyber threats
  vii) Security incident response processes
  viii) Information classification and handling

Security training - enhanced training
c) Inquire and document whether the organisation provides an enhanced level of information and cyber security training to the following personnel proportionate to their role and responsibilities (i.e. beyond general user training materials):
  i) Physical security personnel
  ii) Information security personnel
  iii) External party stakeholders (e.g. Suppliers, customers, partners)
  iv) Senior executives
  v) Users with administrative/privileged access to SCB data 

Security training - content review
d) Obtain evidence and validate whether the organisation has reviewed and, if required, updated all information and cyber security training material(s) on at least an annual basis.

Security training - user completion
e) In accordance with SCB sampling guidance, select a sample of users with access to SCB data, and obtain evidence to validate whether they have completed the information and cyber security training(s) required within the last 12 month period.
"	Yes		Yes		Yes			
HRS-02	2	Human Resource Security	Cybersecurity is included in human resources practices (e.g., deprovisioning, personnel screening).	Cybersecurity is included in human resources practices, to ensure that users with access to SCB data are not high-risk individuals.	"HRS-02.01 - Documentation Requirements:
(a) Please provide formal documentation* (e.g. policy/procedure/standard) of your organisation's processes to perform personnel screening and background checks.

*Note: Formal documentation includes any document which is periodically reviewed and approved by senior management and is distributed or made available to employees (i.e. through email, training or posted to Intranet site). 

HRS-02.02 - Background screening (sampling required)
(a) Please provide information on whether your organisation:
 i) conducts background/screening checks on all new employees; where permitted by law, examples of such checks may include identity check, legal right to work, education, employment, adverse financial history, and/or police criminal checks.
 ii) conducts background/screening checks on all staff at regular intervals throughout their employment as permitted by law, commensurate with staff’s access to critical systems or a change in role.
 iii) establishes processes and controls to mitigate cyber risks related to employment termination, as permitted by law.

(b) Please provide a full list of employees who were hired within the last 12 months who have access to systems which process, store or transmit SCB data.

(c) For a sample of newly hired employees selected from the list above, please provide evidence to demonstrate were subject to background/screening checks, where legally permissible to be performed, prior to their commencement of work (e.g. sanitised/redacted screening results):
"	Yes - Areas of this control will require the sampling of evidence. Please liaise with the assessor and SCB Risk Manager to determine the appropriate sample size.	Yes		Yes		Yes			
HRS-03	3	Human Resource Security	"Cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) are established and communicated.
"	Cybersecurity roles and responsibilities are established for the entire workforce and third-party stakeholders to ensure that employees understand their responsibilities related to cyber security.	"HRS-03.01 - Documentation Requirements:
(a) Please provide formal documentation which defines your organisation's roles and responsibilities (with specific reference to cybersecurity). 

*Note: Formal documentation includes any document which is periodically reviewed and approved by senior management and is distributed or made available to employees (i.e. through email, training or posted to Intranet site). 

HRS-03.02 - Cyber security roles are defined
(a) Please provide information and evidence of your organisation's formally documented roles and responsibilities for the entire cyber security workforce and directly managed third party personnel (e.g. organisation chart, RACI matrix, job descriptions, or other forms of roles and responsibilities documentation).

The section below is only applicable if your organisation provides services to SCB US.

HRS-03.03 - Cyber security roles - Non-Public Personal Information (NPPI)
(a) Please confirm whether your organisation accesses, processes or stores any SCB Non-public Personal Information (NPPI)*. If yes, please provide evidence to demonstrate that the documented roles and responsibilities formally cover the management of Non-public Personal Information (NPPI) data (i.e. security, retention, access, and disclosure).

**As defined by the US Federal Reserve Bank, NPPI data is any non public personally identifiable financial information; and any list, description , or other grouping of consumers (and publicly available information pertaining to them) derived using any personally identifiable financial information that is not publicly available.""                                                                                                                                                                                                                                                                                                            "	No	Yes		Yes		Yes			
ASM-01	4	Information Asset Management	Physical devices, systems, software platforms and applications within the organisation are inventoried; and external information systems are catalogued. 	Physical devices, systems, software platforms and applications (both internal and external to the organisation) which contain SCB data are inventoried, to ensure that appropriate security controls can be deployed consistently across the entire IT landscape.	"ASM-01.01 - Documentation Requirements:
(a) Please provide formal documentation which defines your organisations Information Asset Management policies. The documentation should clearly describe:
 i) How physical devices, systems, software platforms and applications within the organisation are inventoried.
 ii) How the organisation catalogues external information systems to ensure that perimeter connections (e.g. connections between internal assets and external assets) are registered and tracked.
 
*Note: Formal documentation includes any document which is periodically reviewed and approved by senior management and is distributed or made available to employees (i.e. through email, training or posted to Intranet site). 
 
ASM-01.02 - Asset management - inventory of physical assets
(a) Please provide your organisation's current inventory of physical assets relevant to systems which access, process, store, or transmit SCB data. The inventory should comprise the following information:
 i) Asset information (i.e. title, classification rating,
 ii) Asset owner and contact details 
 iii) Date on which the inventory was last reviewed or updated 
 iv) Name and job title of the person(s) responsible for reviewing the inventory (and updating where applicable).
 v) IT contact details -- required only if IT support for the asset is provided by an external party
 vi) Cloud computing service information (i.e. contract manager, details of service) -- required only if SCB data is stored or processed in a cloud environment
  vii) Exemption / risk acceptance are obtained for usage of outdated software / application assets within the organisation's technology environment. The exemption / risk acceptance are assigned a validity period that commensurate with the identified risk, risk mitigation measures and periodic review of the risk to ensure that the risks remain at an acceptable level.
   viii) Location of the asset should be documented if the services covers SCB China 

Note: Physical assets include (but are not limited to) desktops, servers, databases, network devices, wireless access points, laptops, corporate mobile phones, and physical information assets / systems used in a cloud environment or through a cloud service offering.

ASM-01.03 - Asset management - inventory of software / application assets
(a) Please provide information and evidence on how your organisation performs the following activities:
 i) The inventories of physical and software / application assets are reviewed (and updated where applicable) on an annual basis, or when significant changes are made to your organisation’s IT environment.
 ii) Unauthorised physical and software / application assets are identified and remediated (e.g. using active asset discovery or consolidation of vulnerability scan data).
 iii) Exemption / risk acceptance are obtained for usage of outdated software / application assets within the organisation's technology environment. The exemption / risk acceptance are assigned a validity period that commensurate with the identified risk, risk mitigation measures and periodic review of the risk to ensure that the risks remain at an acceptable level.

(b) Please provide your organisation's current inventory of software / application assets relevant to systems which access, process, store, or transmit SCB data. The inventory should comprise the following information:
 i) Asset information (i.e. title, classification rating, 
 ii) Asset end of life / end of support date (EOL / EOS)
 iii) Asset owner and contact details 
 iv) Date on which the inventory was last reviewed or updated 
 v) Name and job title of the person(s) responsible for reviewing the inventory (and updating where applicable).
 vi) IT contact details -- required only if IT support for the asset is provided by an external party
 vii) Cloud computing service information (i.e. contract manager, details of service) -- required only if SCB data is stored or processed in a cloud environment
  viii)Location of the asset should be documented if the services covers SCB China 

Note: Software / application assets include (but are not limited to) operating systems, databases, applications, software / applications utilised in a cloud environment or through a cloud service offering, and any externally facing APIs.

(c) Please provide information or evidence to demonstrate how your organisation identifies and replaces outdated and unsupported software / application assets before their respective End of Life (EOL) or End of Support (EOS) dates.

ASM-01.04 - Asset management - inventory of external information systems
(a) Please provide information as to whether your organisation uses any external information systems to process, store, transmit, or access SCB data. 


ASM-01.05 - Any control weaknesses identified?
(a) Please confirm whether any control weaknesses or failures has been identified for this control within the past 12 months (e.g. through testing or a security event).

If yes, please provide the following information:
 i) date and time of the testing / event;
 ii) the nature of the testing / event;
 iii) the data/systems involved in the testing / event;
 iv) remediation activities that have occurred post-testing / event. "	No	Yes		No		Yes			
ASM-02	5	Information Asset Management	Assets are formally managed throughout removal, transfers, and disposition; and data is destroyed according to policy.	Assets are formally managed throughout removal, transfers, and disposition, and data is destroyed according to policy, to ensure that, after the life cycle of the asset, data is not discoverable and cannot be recovered from retired assets. 	"ASM-02.01 - Documentation Requirements:
(a) Please provide formal documentation* (e.g. policy/procedure/standard) of your organisation's process on asset management and data destruction which describes how assets are managed throughout removal, transfers, and disposition and how the organisation performs secure data destruction
 
*Note: Formal documentation includes any document which is periodically reviewed and approved by senior management and is distributed or made available to employees (i.e. through email, training or posted to Intranet site). 
 
ASM-02.02 - Asset management - general
(a) Please provide information as to whether your organisation has implemented the following processes:
 i) Assets are formally managed throughout removal, transfers, end-of-life, and secure disposal or reuse (e.g., in a configuration management database).
 ii) Allow reuse or disposal of Portable Storage Devices and equipment when all data have been securely erased, using the most appropriate method (e.g. sanitization, degaussing, purging) and is non-retrievable. 
 iii) Retain technology records which govern or demonstrate the practice of information and cybersecurity controls.
 iv) Retain security, event and audit logs that are used for investigations related to compliance, audit, regulatory, litigation or security incidents. 
 v) Perform a periodic review to ensure the timely disposal of the decommissioned equipment.
Item (vi) is applicable to China only
vi) Encryption of sensitive data in the asset prior to movement of asset from the secure location.

ASM-02.03 - Asset management - data retention
(a) Please provide evidence (e.g. log extracts) that demonstrates whether your organisation retains the information / data below: 
 i) Cybersecurity internal audit / controls assurance report 
 ii) Penetration Test report and related actions plans 
 iii) Firewall logs 
 iv) DLP alerts 
 
This paragraph is only applicable if your organisation provides services to SCB US:
(b) Please provide evidence to demonstrate that your organisation retains the above logs/data types for a minimum of three years (e.g. configuration screenshots of log retention settings OR log extracts dated greater than three years prior).
 
ASM-02.04 - Asset management - secure destruction/erasure (sampling required)
(a) Please provide information and evidence as to whether SCB data stored on electronic storage media devices is securely wiped before such devices are reused, returned to external parties, destroyed, or sent for repair.
 
(b) Please provide information and evidence as to how your organisation manages paper waste disposal devices (e.g. shredder or locked paper waste disposal container), including the following elements:
 i) These devices are readily available to employees**
 ii) Confidential waste bins are locked
 iii) Confidential waste bins are emptied by authorised personnel on a regular basis
 iv) The keys to confidential waste bins are managed in a secure manner 
 
(c) If your organisation allows the use of Portable Storage Devices, for a sample of such devices, please provide evidence to demonstrate that such removable media was returned to the local IT / technology support team for disposal/destruction or sanitation, whichever is applicable. 
 
ASM-02.05 - Asset management - certificate of destruction (sampling required)
(a) Please provide information if your organisation uses a third party to destroy data. If yes, please provide information as to whether your organisation obtains evidence (e.g. a certificate) of destruction, signed by a valid authority. 
 
(b) In addition to the above, for a sample of visits by the above-mentioned third party, please provide evidence of destruction signed by a valid authority (e.g. certificates of destruction). The evidence should comprise the following information:
 i) Device information (e.g. manufacturer, model, serial number, assigned asset number, media type, media source)
 ii) Destruction information (e.g. pre- and post-destruction information classification, description, destruction method/tool used, verification method, post-destruction action)
 iii) The name(s) of any responsible person(s), and the date(s) on which sanitisation and verification activities were performed.

ASM-02.06 - Asset management - destruction schedule
(a) If your organisation does not use a third party to destroy data, please provide information whether your organisation maintains an inventory of electronic storage media devices scheduled for destruction. The inventory should comprise the following information:
 i) Date on which the inventory was last updated
 ii) Device information (e.g. manufacturer, model, serial number, assigned asset number, media type, media source)
 iii) Destruction information (e.g. pre- and post-destruction information classification, description, destruction method/tool used, verification method, post-destruction action)
 iv) The name(s) of any responsible person(s), and the date(s) on which sanitisation and verification activities were performed.

ASM-02.07 - Asset management - physical transfers (documents/forms/removable media)
* This section is only applicable if your organisation performs physical transfers of SCB data (e.g. archival services, statement delivery, etc) from one location to another.

(a) Provide information and evidence as to how confidentiality and integrity of printed SCB data is protected from accidental disclosure before it reaches its intended recipient/destination.

(b) If your organisation performs physical transfers of SCB data (e.g. archival services, statement delivery, etc) from one location to another, please provide information and evidence to demonstrate that physical security mechanisms are in place to detect and deter unauthorized access of SCB data in transit. Examples of such mechanisms include (but are not limited to) armoured trucks, tamper-proof locked boxes, etc.
  (i) If significant volumes* of physical data is being transported, please also provide evidence of mechanisms to ensure that the delivery reaches an authorized person/party at the appointed courier(s) reliably. 

*Significant volume is defined as fulfilling either criteria:
- >100 records/letters/statements per month, or
- >100 records/letters/statements per trip (e.g. archival services)

ASM-02.08 - Any control weaknesses identified?
(a) Please confirm whether any control weaknesses or failures has been identified for this control within the past 12 months (e.g. through testing or a security event).

If yes, please provide the following information:
 i) date and time of the testing / event;
 ii) the nature of the testing / event;
 iii) the data/systems involved in the testing / event;
 iv) root cause and lessons learned (i.e. has the organisation identified the cause of the issue/event); and
 v) remediation activities that have occurred post-testing / event. "	Yes - Areas of this control will require the sampling of evidence. Please liaise with the assessor and SCB Risk Manager to determine the appropriate sample size.	Yes		Yes		Yes			
ASM-03	6	Information Asset Management	Maintenance and repair of organisational assets including remote maintenance is performed and logged in a timely manner, with approved and controlled tools, in a manner that prevents unauthorized access.	Both asset maintenance and remote asset maintenance is logged and performed using appropriate tools to ensure that organisational assets are repaired and maintained in a secure manner;  and  remote access to organisational assets is restricted to only those users which require it as a part of their job responsibilities.	"ASM-03.01 - Documentation Requirements:
(a) Please provide formal documentation* (e.g. policy/procedure/standard) of your organisation's processes to maintain and repair its information systems, including remote maintenance (i.e. the interaction between the service desk and business users).
 
*Note: Formal documentation includes any document which is periodically reviewed and approved by senior management and is distributed or made available to employees (i.e. through email, training or posted to Intranet site). 
 
ASM-03.02 - Asset maintenance records
(a) Please provide evidence of your organisation's processes on the maintenance of information systems. The evidence should comprise the following information:
 i) A formal list or description of approved asset maintenance tools;
 ii) Defined maintenance windows, during which asset maintenance is conducted; and
 iii) Asset maintenance activities are logged in a centralised system.
 
ASM-03.03 - Remote asset maintenance approval (sampling required)
(a) For a sample of assets from the maintenance log, please provide evidence that remote maintenance was approved. The evidence should comprise the following information:
 i) Date when the remote maintenance was performed
 ii) Method of maintenance logging (e.g. paper forms, emails, change ticket, digital audit records)
 iii) Remote maintenance was approved prior to being performed
 iv) Name and job title of the remote maintenance approver
 
ASM-03.04 - Remote asset maintenance tool (sampling required)
(a) Please provide information as to whether a documented and approved remote access solution is used to perform network administration and maintenance. If yes, please provide the name and version number of the aforementioned remote access solution.
 
(b) In addition to the above, for a sample of maintenance tools (e.g. Wireshark), please provide evidence to demonstrate that the usage of such tools are restricted to specific users and activities are monitored (e.g. logs of maintenance activities in your organisation's configuration management database platform).

ASM-03.05 - Any control weaknesses identified?
(a) Please confirm whether any control weaknesses or failures has been identified for this control within the past 12 months (e.g. through testing or a security event).

If yes, please provide the following information:
 i) date and time of the testing / event;
 ii) the nature of the testing / event;
 iii) the data/systems involved in the testing / event;
 iv) root cause and lessons learned (i.e. has the organisation identified the cause of the issue/event); and
 v) remediation activities that have occurred post-testing / event. 
"	Yes - Areas of this control will require the sampling of evidence. Please liaise with the assessor and SCB Risk Manager to determine the appropriate sample size.	Yes		Yes		Yes			
ASM-04	7	Information Asset Management	Resources (e.g., hardware, devices, data, time, personnel, and software) are prioritised based on their classification, criticality, and business value.	Resources are prioritised based on their classification, criticality, and business value, to ensure that proportionate controls can be implemented.	"ASM-04.01 - Documentation Requirements:
(a) Please provide formal documentation on Information Asset Management which describes how the organisation manages prioritising resources (e.g. hardware, devices, data, time, personnel and software) based on their classification, criticality, and business value. 
 
*Note: Formal documentation includes any document which is periodically reviewed and approved by senior management and is distributed or made available to employees (i.e. through email, training or posted to Intranet site). 
 
ASM-04.02 - Asset management - asset classification
(a) Please provide information regarding how your organisation categorises its data and assets (e.g. public to top-secret) and provide evidence (e.g. data classification policy/standard) to demonstrate how the classification ratings have been applied to assets used to access, process, or store SCB data. 
 
ASM-04.03 - Asset management - security controls 
(a) Please provide evidence (e.g. risk and controls matrix) to demonstrate that your organisation requires more stringent controls for higher data and asset classifications (e.g. stronger passwords, segregated networks). 
 
ASM-04.04 - Asset management - classification review
(a) Please provide evidence to demonstrate that your organisation reviews the data and asset classifications annually. The review should comprise the following information:
 i) Date when the last review was performed.
 ii) Name and job title of the individual who performed the review.
 iii) Changes to the data classification (if any), which should then be protected accordingly along with any assets.


ASM-04.05 - Any control weaknesses identified?
(a) Please confirm whether any control weaknesses or failures has been identified for this control within the past 12 months (e.g. through testing or a security event).

If yes, please provide the following information:
 i) date and time of the testing / event;
 ii) the nature of the testing / event;
 iii) the data/systems involved in the testing / event;
 iv) root cause and lessons learned (i.e. has the organisation identified the cause of the issue/event); and
 v) remediation activities that have occurred post-testing / event. "	No	No		Yes		Yes			
RSK-01	8	Information Security Risk Management	Cyber threats, both internal and external, are identified and documented.	Cyber threats, both internal and external, are identified, documented and analysed to ensure that responses to relevant threats can be addressed.	"RSK-01.01 - Documentation Requirements:
(a) Please provide formal documentation* (e.g. policy/procedure/standard) which identifies and documents internal and external cyber threats relevant to the business. 

*Note: Formal documentation includes any document which is periodically reviewed and approved by senior management and is distributed or made available to employees (i.e. through email, training or posted to Intranet site). 

RSK-01.02 - Cyber threat assessments
If your organisation’s services delivered to SCB includes material physical elements (e.g. physical archival services, statement printing/delivery, card embossing), then the assessment’s scope should include physical information asset handling as well.

(a) Please provide information as to whether your organisation performs the following activities as part of a cyber threat assessment:  
 i) Identifies, documents, and analyses cyber threats that are internal and external to the organisation.
 ii) Identifies, documents, and analyses cyber threats which could trigger extreme but plausible cyber events (even if they are considered unlikely to occur or have never occurred in the past).
 iii) Regularly reviews and updates the results of the cyber threat assessment / analysis.
Applicable for South Korea only 
 vi) Financial companies or electronic financial businesses must perform a vulnerability assessment at least annually for all information system.
vii) Financial companies or electronic financial businesses must perform avulnerability asssesment at least semi-annually for external facing web applications. 

(b) Please provide evidence to demonstrate your organisation's cyber threat analysis process (e.g. a threat assessment report or threat modelling method for services and applications). The evidence should comprise the following aspects:
 i) Information on how cyber threats are documented and analysed.
 ii) How regularly the results of the cyber threat analysis are reviewed and updated.
 iii) High level details of any cyber threats identified which could trigger extreme but plausible cyber events, even if they are considered unlikely to occur or have never occurred in the past.
 iv) Date on which the cyber threat analysis was last updated.
 v) Name and job title of the person(s) responsible for performing these updates."	No	Yes		No		Yes			
RSK-02	9	Information Security Risk Management	Potential business impacts, likelihoods, threats, and vulnerabilities, are identified and analysed to determine prioritised business risks.	Potential business impacts, likelihoods, threats, and vulnerabilities, are identified to understand and prioritize risk remediation activities.	"RSK-02.01 - Documentation Requirements:
(a) Please provide formal documentation* (e.g. policy/procedure/standard) of your organisation's cybersecurity risk assessment process which defines how the organisation:
 i) identifies the potential business impacts and likelihoods of cyber events and incidents
 ii) uses threats, vulnerabilities, likelihoods, and impacts to determine risk
 iii) identifies and prioritises risk responses. 

*Note: Formal documentation includes any document which is periodically reviewed and approved by senior management and is distributed or made available to employees (i.e. through email, training or posted to Intranet site). 

RSK-02.02 - Cyber risk - business impact
(a) Please provide information regarding your organisation's risk assessment approach; specifically, whether this includes the identification of likelihood and potential business impact of applicable cyber risks being exploited.

(b) Please provide evidence to demonstrate your organisation's most recent risk assessment or business impact assessment performed. The assessment should comprise the following aspects:
 i) Business critical functions, including those that support the service(s) rendered to SCB. 
 ii) Date when the assessment was last performed or updated.
 iii) Name and job title of the approver.

RSK-02.03 - Cyber risk - threat intelligence and risk aggregation
(a) Please provide information as to whether your organisation maintains the following capabilities:
 i) Receive and consider threat intelligence from the organisation's participants, service and utility providers, and other industry organisations.
 ii) Establish threat modelling to identify how and why critical assets might be compromised by a threat actor, what level of protection is needed for such assets, and what the impact would be if that protection failed.
 iii) Determine how to aggregate cyber risk to assess the organisation's residual cyber risk.

RSK-02.04 - Cyber risk - risk register (sampling required) and action plans
(a) Please provide your organisation's cyber risk register (or subset of the enterprise risk register, focusing on cyber risks). The register should comprise the following aspects:
 i) Cyber risk levels are monitored on an ongoing basis throughout the lifecycles of the assets. 
 ii) Connections among assets and their cyber risk levels are monitored throughout the life cycles of the assets.
 iii) Date on which the register was last reviewed (e.g. through formal sign-off or other formal means such as board meeting minutes).
 iv) Name and job title of the reviewer.
 v) Cyber risks have associated action plans that have been prioritised based on the risk to the organisation.
 vi) List of operational or business unit(s) affected by each cyber risk in the register.

(b) For a sample of cyber risks selected from the above-mentioned register, please provide evidence to demonstrate that each risk considers cyber threats, vulnerabilities, likelihoods, and impacts to determine the overall cyber risk to the organisation.

RSK-02.05 - Cyber risk - risk assessment report
Items under this subheader are only applicable if services are provided to SCB in the United Arab Emirates (UAE):

(a) Please provide information as to whether a formal Risk Assessment Report has been created, formally approved by senior management, and distributed to sector regulators. The content of the report must include any major findings and associated risk treatment plans.

(b) In addition to the above, please provide information if the organisation performs risk monitoring activities on at least a quarterly basis (KPI tracking, risk remediation plan progress monitoring, internal risk reporting, etc.).


RSK-02.06 - Any control weaknesses identified?
(a) Please confirm whether any control weaknesses or failures has been identified for this control within the past 12 months (e.g. through testing or a security event).

If yes, please provide the following information:
 i) date and time of the testing / event;
 ii) the nature of the testing / event;
 iii) the data/systems involved in the testing / event;
 iv) root cause and lessons learned (i.e. has the organisation identified the cause of the issue/event); and
 v) remediation activities that have occurred post-testing / event. 
"	Yes - Areas of this control will require the sampling of evidence. Please liaise with the assessor and SCB Risk Manager to determine the appropriate sample size.	Yes		Yes		Yes			
ACC-01	10	Access Control	Requests for logical access to applications and systems that process, store, or transmit SCB data are approved by an appropriate level of management.	System access requests are approved prior to provisioning to ensure unauthorised individuals are restricted from gaining access to SCB data.	"ACC-01.01 - Documentation Requirements:
(a) Please provide formal documentation* (e.g. policy/procedure/standard) which defines processes for authorising and issuing identities and credentials for both standard and privileged users.
 
*Note: Formal documentation includes any document which is periodically reviewed and approved by senior management and is distributed or made available to employees (i.e. through email, training or posted to Intranet site). 
 
ACC-01.02 - Authorisation of user accounts - general (sampling required)
(a) Please provide information regarding your process to provision logical access to systems that store and/or process SCB data.
 
(b) Please provide a system-generated list of users who were provisioned logical access to systems which process or store SCB data within the last 12 months. The list should comprise the following aspects:
 i) User ID creation date
 ii) General (non-administrative) users
 iii) Privileged (administrative) users
 iv) Users granted with emergency access (if applicable)
 
(c) For a sample of employees provisioned general (non-administrative) access to SCB in-scope systems for the past 12 month period, please provide evidence (e.g. a access request ticket) to demonstrate the following aspects:
 i) date that access was requested;
 ii) date that access was approved
 iii) who approved the access, including their job title.

Applicable for South Korea only
(d) Please provide formal documentation on the provisioned of access to the use of Personal Credit Infomation. The documentation should comprise : 
 i) approval from management of access for the use of personal credit information. 
 ii) evidence the details of use are kept for at least three years.

ACC-01.03 - Authorisation of user accounts - privileged (sampling required)
(a) If the process for how the organisation provisions logical access to systems that store and/or process SCB data for privileged accounts is different to general users, then please provide: 
 i) information regarding this process (outlining key differences to the general access provisioning process)
 ii) Additional sample evidence as required above.
 
ACC-01.04 - Authorisation of user accounts - emergency access (sampling required)
(a) If the process for how the organisation provisions logical access to systems that store and/or process SCB data for emergency access (e.g. to deploy a zero-day patch) is different to general/privileged users, then please provide:
 i) information regarding this process (outlining key differences to the general access provisioning process)
 ii) Additional sample evidence as required above.


ACC-01.05 - Any control weaknesses identified?
(a) Please confirm whether any control weaknesses or failures has been identified for this control within the past 12 months (e.g. through testing or a security event).

If yes, please provide the following information:
 i) date and time of the testing / event;
 ii) the nature of the testing / event;
 iii) the data/systems involved in the testing / event;
 iv) root cause and lessons learned (i.e. has the organisation identified the cause of the issue/event); and
 v) remediation activities that have occurred post-testing / event. 
"	Yes - Areas of this control will require the sampling of evidence. Please liaise with the assessor and SCB Risk Manager to determine the appropriate sample size.	Yes		Yes		Yes			
